,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
0,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.808,80.015,195053,4,0,2rCbl9naJYhaxjLsfx88uM
1,0.807,0.712,1,-5.757,1,0.1,0.532,2.37e-05,0.163,0.792,100.004,241659,4,0,5RAIMjdrCEjpjaR5tBATXU
2,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,261667,4,0,7Bk0uXKk1uPT0XuQbpFzvs
3,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891,197333,4,0,2MnLkFqY9Rpg9s3Zv6ZJdK
4,0.83,0.517,6,-6.416,0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,182496,4,0,2dNhNlpZAtV4lwAFW45LIv
5,0.728,0.689,7,-5.718,1,0.0725,0.293,1.26e-05,0.109,0.431,170.089,197647,4,0,1mauYRwbpoGQX6itP2FAJC
6,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4,0,2FSGUA0gFgGeQdprjtGM2M
7,0.503,0.548,0,-7.564,0,0.164,0.0751,0.000234,0.145,0.441,94.036,228920,4,1,2CdTLdDjwZdVcm0bresVWx
8,0.824,0.545,5,-7.127,1,0.0699,0.0221,0.00375,0.097,0.683,149.912,186088,4,0,0D75ciM842cdUMKSMfAR9y
9,0.644,0.661,1,-4.877,0,0.451,0.369,0.0,0.0733,0.355,180.05,199882,4,0,3RasiWohReHWYM1FJ9d1ZD
10,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891,4,0,2TksvaRivgAEj780DgRB73
11,0.791,0.649,10,-2.312,1,0.276,0.0624,0.0,0.184,0.951,190.087,221749,4,0,3YAnNBdk0uHyakXXzMbNJq
12,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,0,1xK1Gg9SxG8fy2Ya373oqb
13,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4,0,2XIc1pqjXV3Cr2BQUGNBck
14,0.908,0.813,5,-2.749,0,0.0777,0.305,0.0,0.278,0.924,97.018,200785,4,0,4DHDIdeayp8xvlyg22wREO
15,0.788,0.771,0,-4.048,1,0.0562,0.0452,0.0,0.103,0.785,91.945,169560,4,0,5iF33sXejXwfTuidVHMll0
16,0.742,0.738,1,-4.86,1,0.0558,0.296,0.00126,0.119,0.456,88.985,189375,4,0,0cHuDFkcVBjuvYQxEgcpBv
17,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.842,89.988,184507,4,0,2dl5K2ScW7jYhAhuem06cm
18,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00024,0.0874,0.797,175.826,157320,4,0,5KFHrrBMyGj5MhVbZMM3ts
19,0.739,0.788,1,-5.198,1,0.0731,0.0513,0.0,0.282,0.473,175.996,324426,4,0,0VWLId2RwPCno9s1cJm2Vy
20,0.741,0.558,11,-6.029,0,0.229,0.306,0.000327,0.1,0.265,179.972,188955,4,0,0iWxrdjwEGOrTC9AszgAJk
21,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,186133,4,0,3VvA1wSxukMLsvXoXtlwWx
22,0.82,0.804,9,-7.226,1,0.0528,0.175,0.00215,0.064,0.844,110.982,211998,4,0,6mm3K0yWp6uzfOMuipM9Zh
23,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4,0,6tDDoYIxWvMLTdKpjFkc1B
24,0.824,0.837,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,289933,4,0,2mM3gZ0BbPwPPMelbA8vgt
25,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.118,0.582,96.001,230728,4,0,70uX4beGHc1nQikXveOknp
26,0.786,0.899,10,-0.515,1,0.127,0.192,0.000189,0.299,0.813,90.025,216510,4,0,5u7twkeask1VIyDeNTElSU
27,0.852,0.852,8,-3.476,0,0.0444,0.574,0.000103,0.326,0.881,143.952,203933,4,0,2IViAyalheAvrT9ErMCABT
28,0.752,0.819,0,-2.84,1,0.0721,0.143,0.000458,0.332,0.638,175.996,235227,4,0,7AKFB1pntnYpXYII0mlh0m
29,0.585,0.611,6,-4.132,1,0.288,0.39,0.0,0.649,0.962,97.041,218107,4,0,5YYW3yRktprLRr47WK219Y
30,0.664,0.665,10,-3.616,1,0.0879,0.123,0.0,0.411,0.726,173.961,176970,4,0,41BzKiCrKpUQHS3TP0jmdr
31,0.817,0.737,6,-5.453,0,0.102,0.046,1.57e-05,0.092,0.67,93.985,206587,4,0,73O30uMI7n6DuzBmbtO7kC
32,0.811,0.794,7,-7.202,1,0.216,0.205,5.63e-06,0.667,0.872,99.942,281853,4,0,7G1o084VGIPA5TAbUSgADQ
33,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,1,47EiUVwUp4C9fGccaPuUCS
34,0.771,0.575,0,-5.178,0,0.0794,0.555,0.00818,0.105,0.56,84.522,147084,4,0,7MIkwVS7Wm1vYTEoDPsyVS
35,0.605,0.8,10,-3.018,1,0.312,0.518,0.000128,0.0763,0.732,92.284,236731,4,0,69Y5IZuBvGyzySFt5x7kCq
36,0.772,0.758,9,-3.891,1,0.0482,0.0433,0.0,0.295,0.654,115.977,265240,4,0,5Km4r87BoX2qqtoprYS1gh
37,0.839,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,147120,4,0,4jOBQxq4Ffd8DDrsN4wPOR
38,0.775,0.645,6,-5.236,1,0.067,0.212,0.0,0.127,0.723,90.017,197313,4,0,6ZUGi3v66aBs8kLxJ8DsO1
39,0.863,0.823,11,-4.271,1,0.121,0.246,0.0,0.134,0.406,98.964,157595,4,0,0Vd3oU8EfWdZZO1J0W3dBN
40,0.737,0.634,3,-4.25,0,0.0424,0.345,0.0,0.111,0.528,94.927,206360,4,0,5RmSunLqeDqNWww8LWhAiK
41,0.788,0.789,0,-2.39,1,0.124,0.397,0.0,0.226,0.867,167.897,179005,4,0,1LXb70u8SLsvBAPWHMCTMe
42,0.747,0.824,0,-2.316,1,0.0738,0.0283,0.0,0.0792,0.628,166.005,167800,4,0,4KnLltd5UNz4c085UAr5dR
43,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,216107,4,0,7ndTONDDRFGiPnnhOzOXxq
44,0.782,0.652,6,-4.602,0,0.0649,0.154,0.0,0.121,0.579,91.992,176000,4,0,68Oy57uVLa2uZdWcYNi6M4
45,0.702,0.758,9,-4.405,1,0.278,0.14,0.0,0.111,0.837,167.915,188598,4,0,1ZN2Dat0KrO0xqr9t8QP9r
46,0.54,0.508,7,-7.868,0,0.29,0.522,1.13e-05,0.0755,0.653,82.606,203137,4,1,0K3dGPXHVALEqW8EEQGc3T
47,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,4,0,5RubKOuDoPn5Kj5TLVxSxY
48,0.851,0.776,6,-3.254,1,0.0561,0.12,0.0,0.1,0.804,95.995,209905,4,0,7MoZgM6AsQaZw14WnKopuy
49,0.677,0.579,7,-5.715,1,0.185,0.428,6.28e-06,0.15,0.448,175.904,155390,4,0,09HSL5vRZgxXmoSrDVKMDB
50,0.741,0.558,11,-6.029,0,0.229,0.306,0.000327,0.1,0.265,179.972,188955,4,0,0iWxrdjwEGOrTC9AszgAJk
51,0.83,0.517,6,-6.416,0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,182496,4,0,2dNhNlpZAtV4lwAFW45LIv
52,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891,4,0,2TksvaRivgAEj780DgRB73
53,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,261667,4,0,7Bk0uXKk1uPT0XuQbpFzvs
